"product_group","product_name","sales_sep_k_rub","cogs_sep_k_rub","margin_sep_k_rub","margin_share_pct","cum_margin_share_pct","abc_category"
Мясо и мясопродукты,Мясо и мясопродукты 5,8.04229,5.83185,2.21044,0.08,67.87,A
Мясо и мясопродукты,Мясо и мясопродукты 388,4.42150,2.21284,2.20866,0.08,67.95,A
Молочные продукты,Молочные продукты 449,10.34073,8.13802,2.20271,0.08,68.03,A
Молочные продукты,Молочные продукты 639,7.55329,5.35800,2.19529,0.08,68.11,A
Хлеб и хлебобулочные изд,Хлеб и хлебобулочные изд 124,7.76020,5.56998,2.19022,0.08,68.19,A
Молочные продукты,Молочные продукты 291,17.99249,15.80490,2.18759,0.08,68.28,A
Мясо и мясопродукты,Мясо и мясопродукты 62,7.16884,4.98940,2.17944,0.08,68.36,A
Мясо и мясопродукты,Мясо и мясопродукты 71,4.19743,2.02464,2.17279,0.08,68.44,A
Молочные продукты,Молочные продукты 263,41.28356,39.11992,2.16364,0.08,68.52,A
Молочные продукты,Молочные продукты 284,11.70222,9.54690,2.15532,0.08,68.60,A
Овощи и фрукты,Овощи и фрукты 194,10.97664,8.82265,2.15399,0.08,68.68,A
Мясо и мясопродукты,Мясо и мясопродукты 154,5.41534,3.27474,2.14060,0.08,68.76,A
Молочные продукты,Молочные продукты 660,8.08935,5.94980,2.13955,0.08,68.84,A
Мясо и мясопродукты,Мясо и мясопродукты 28,4.91111,2.77475,2.13636,0.08,68.92,A
Молочные продукты,Молочные продукты 435,6.05421,3.92360,2.13061,0.08,69.00,A
